date,dalian_pm25,dalian_pm10,dalian_o3,dalian_no2,dalian_so2,dalian_co
2019-08-17,46,27,102,13,5,9
2019-08-18,58,24,76,12,6,7
2019-08-19,59,22,59,6,4,7
2019-08-20,67,34,71,11,4,8
2019-08-21,82,79,48,16,5,9
2019-08-22,86,26,35,10,3,6
2019-08-23,48,22,48,9,3,6
2019-08-24,43,34,89,8,5,12
2019-08-25,89,23,58,5,3,7
2019-08-26,70,41,93,9,4,12
2019-08-27,106,46,104,8,3,11
2019-08-28,111,22,35,7,3,6
2019-08-29,37,19,36,9,3,7
2019-08-30,34,24,72,10,5,8
2019-08-31,43,20,53,7,3,6
2019-09-01,50,18,57,7,3,6
2019-09-02,51,27,65,12,3,6
2019-09-03,63,33,36,15,5,7
2019-09-04,89,28,105,6,3,8
2019-09-05,88,32,76,9,3,7
2019-09-06,96,35,50,9,4,9
2019-09-07,100,57,112,7,4,11
2019-09-08,162,51,66,13,3,10
2019-09-09,147,54,23,22,11,10
2019-09-10,98,44,22,21,12,7
2019-09-11,64,48,67,21,7,8
2019-09-12,81,21,52,6,3,5
2019-09-13,69,19,35,9,6,5
2019-09-14,43,29,51,13,5,5
2019-09-15,63,40,40,11,6,7
2019-09-16,76,36,41,16,7,8
2019-09-17,59,30,27,8,4,6
2019-09-18,39,35,43,14,6,7
2019-09-19,48,38,65,12,7,8
2019-09-20,87,52,62,18,6,10
2019-09-21,128,42,40,13,6,5
2019-09-22,66,36,42,17,8,5
2019-09-23,57,41,60,18,8,6
2019-09-24,70,46,83,16,6,6
2019-09-25,89,35,70,8,6,6
2019-09-26,113,37,73,8,4,7
2019-09-27,119,42,76,7,4,7
2019-09-28,133,67,109,19,5,10
2019-09-29,169,66,98,11,6,10
2019-09-30,187,52,76,9,4,7
2019-04-01,61,43,37,20,10,5
2019-04-02,68,50,50,18,8,4
2019-04-03,77,91,93,14,8,6
2019-04-04,152,125,47,12,4,4
2019-04-05,101,73,46,16,5,3
2019-04-06,77,51,40,18,5,4
2019-04-07,71,48,36,18,6,4
2019-04-08,73,34,39,11,5,4
2019-04-09,65,39,44,17,7,3
2019-04-10,71,53,44,20,6,5
2019-04-11,98,79,65,15,8,6
2019-04-12,163,90,54,15,5,6
2019-04-13,172,63,42,13,5,4
2019-04-14,96,72,73,12,7,5
2019-04-15,104,67,52,11,5,4
2019-04-16,120,67,67,9,4,4
2019-04-17,123,85,49,11,4,4
2019-04-18,98,48,43,10,4,3
2019-04-19,53,56,34,23,4,4
2019-04-20,92,69,44,15,4,5
2019-04-21,111,60,43,20,4,4
2019-04-22,99,53,34,11,6,4
2019-04-23,104,112,33,14,4,5
2019-04-24,133,62,31,15,4,6
2019-04-25,92,47,40,15,5,4
2019-04-26,68,58,47,17,6,5
2019-04-27,114,28,50,8,3,5
2019-04-28,64,31,44,10,5,3
2019-04-29,65,75,57,17,6,7
2019-04-30,140,111,45,20,7,4
2019-05-01,126,84,61,27,10,8
2019-05-02,134,59,90,13,6,6
2019-05-03,106,66,96,11,7,7
2019-05-04,130,75,65,10,4,4
2019-05-05,89,68,41,14,6,6
2019-05-06,103,63,87,14,8,7
2019-05-07,114,70,94,10,7,5
2019-05-08,129,100,99,14,8,8
2019-05-09,158,78,85,14,8,6
2019-05-10,147,55,57,10,4,4
2019-05-11,103,49,67,9,4,3
2019-05-12,89,60,55,10,5,4
2019-05-13,80,68,50,9,4,3
2019-05-14,86,50,49,5,3,3
2019-05-15,107,34,45,6,4,2
2019-05-16,80,43,41,6,4,2
2019-05-17,91,28,48,7,4,1
2019-05-18,65,38,50,7,4,2
2019-05-19,74,57,38,9,5,2
2019-05-20,46,40,56,13,6,2
2019-05-21,62,57,78,27,9,6
2019-05-22,113,58,98,14,9,6
2019-05-23,104,89,108,23,6,6
2019-05-24,158,62,85,8,5,3
2019-05-25,111,63,47,4,4,3
2019-05-26,94,26,41,9,3,3
2019-05-27,30,42,85,18,4,5
2019-05-28,72,55,108,22,6,7
2019-05-29,84,55,98,10,6,7
2019-05-30,101,30,59,12,5,7
2019-05-31,59,57,108,11,7,7
2019-06-01,89,62,99,6,4,8
2019-06-02,112,64,64,7,3,6
2019-06-03,105,49,51,5,3,4
2019-06-04,99,43,56,11,3,4
2019-06-05,92,32,37,8,3,5
2019-06-06,78,34,72,13,3,5
2019-06-07,75,53,63,8,2,5
2019-06-08,90,47,49,8,3,4
2019-06-09,85,36,45,9,3,5
2019-06-10,70,28,53,3,2,5
2019-06-11,63,42,65,7,4,3
2019-06-12,76,52,40,7,3,4
2019-06-13,94,56,51,11,3,3
2019-06-14,102,48,40,12,3,5
2019-06-15,71,37,38,12,4,6
2019-06-16,50,50,49,11,5,5
2019-06-17,80,63,54,8,3,5
2019-06-18,115,42,59,3,2,4
2019-06-19,88,40,49,5,1,4
2019-06-20,91,50,67,13,3,5
2019-06-21,93,41,84,13,5,5
2019-06-22,59,44,87,11,4,5
2019-06-23,86,44,78,6,3,5
2019-06-24,81,44,55,3,4,4
2019-06-25,86,33,53,3,3,5
2019-06-26,70,37,53,5,5,4
2019-06-27,98,48,51,7,5,6
2019-06-28,101,57,94,5,5,8
2019-06-29,132,33,61,9,8,7
2019-06-30,60,28,40,11,4,5
2019-01-01,75,59,15,28,22,10
2019-01-02,108,63,25,23,18,12
2019-01-03,128,107,18,29,18,14
2019-01-04,173,44,21,19,11,7
2019-01-05,75,48,19,18,11,9
2019-01-06,83,70,16,27,19,12
2019-01-07,133,54,21,17,13,7
2019-01-08,94,41,25,12,9,6
2019-01-09,60,81,23,21,10,11
2019-01-10,145,105,21,25,8,15
2019-01-11,187,129,27,28,12,16
2019-01-12,232,192,30,35,13,23
2019-01-13,315,82,25,25,15,12
2019-01-14,164,66,23,9,5,5
2019-01-15,85,56,21,21,12,9
2019-01-16,77,93,10,34,21,20
2019-01-17,161,86,22,29,16,14
2019-01-18,162,97,18,29,17,15
2019-01-19,164,37,25,13,8,7
2019-01-20,72,55,23,21,9,10
2019-01-21,85,81,16,32,14,13
2019-01-22,141,77,21,33,16,13
2019-01-23,139,52,27,21,13,8
2019-01-24,111,57,25,11,8,6
2019-01-25,105,36,47,13,8,5
2019-01-26,60,57,24,19,11,8
2019-01-27,115,61,27,18,9,7
2019-01-28,92,39,30,15,10,7
2019-01-29,71,81,22,19,10,10
2019-01-30,134,44,25,10,6,6
2019-01-31,58,67,32,12,8,8
2019-02-01,109,94,35,10,7,9
2019-02-02,169,76,25,12,6,7
2019-02-03,135,73,33,7,8,6
2019-02-04,91,121,27,9,8,9
2019-02-05,172,96,29,13,10,11
2019-02-06,163,48,26,4,6,4
2019-02-07,87,36,25,7,8,5
2019-02-08,62,32,26,6,7,5
2019-02-09,67,26,25,12,10,4
2019-02-10,57,70,25,17,15,11
2019-02-11,137,54,26,11,11,9
2019-02-12,120,43,27,11,10,7
2019-02-13,114,35,33,10,8,6
2019-02-14,111,43,29,14,7,7
2019-02-15,102,29,28,12,8,5
2019-02-16,59,39,26,17,12,9
2019-02-17,88,46,27,17,9,8
2019-02-18,111,68,33,18,9,9
2019-02-19,158,106,28,23,12,13
2019-02-20,230,77,33,33,18,13
2019-02-21,161,124,42,37,20,18
2019-02-22,212,74,43,24,16,11
2019-02-23,162,76,33,34,18,13
2019-02-24,159,60,25,25,15,8
2019-02-25,117,55,18,33,22,11
2019-02-26,100,76,16,38,20,14
2019-02-27,151,90,29,44,18,17
2019-02-28,179,149,50,43,16,17
2019-03-01,266,149,61,33,14,17
2019-03-02,307,128,57,37,12,13
2019-03-03,232,163,41,42,15,17
2019-03-04,220,171,34,39,13,16
2019-03-05,256,96,32,21,4,11
2019-03-06,163,46,29,16,7,4
2019-03-07,78,66,50,17,8,7
2019-03-08,143,51,36,15,7,4
2019-03-09,123,67,33,23,7,7
2019-03-10,125,82,41,25,7,9
2019-03-11,168,46,29,11,4,3
2019-03-12,70,41,28,13,5,3
2019-03-13,48,48,32,20,7,5
2019-03-14,60,52,31,16,7,5
2019-03-15,69,49,31,19,6,5
2019-03-16,74,48,34,21,10,5
2019-03-17,80,51,43,11,5,4
2019-03-18,80,81,55,23,10,6
2019-03-19,155,53,51,10,4,4
2019-03-20,111,32,36,11,3,2
2019-03-21,80,34,37,18,8,3
2019-03-22,68,29,31,12,5,3
2019-03-23,70,51,43,11,7,4
2019-03-24,88,114,57,27,10,7
2019-03-25,184,106,49,22,8,7
2019-03-26,187,80,36,22,8,6
2019-03-27,142,46,30,17,7,2
2019-03-28,66,46,39,17,8,3
2019-03-29,74,48,30,12,6,3
2019-03-30,86,25,32,15,6,3
2019-03-31,44,37,32,19,8,5
2018-10-01,36,42,69,14,6,8
2018-10-02,81,56,64,16,6,12
2018-10-03,117,34,47,8,4,7
2018-10-04,77,36,47,13,4,7
2018-10-05,79,51,31,13,4,6
2018-10-06,73,29,29,10,3,7
2018-10-07,29,34,61,11,5,9
2018-10-08,49,53,45,20,5,11
2018-10-09,97,15,20,12,3,6
2018-10-10,30,22,26,17,3,6
2018-10-11,35,22,39,12,3,6
2018-10-12,43,44,66,13,5,8
2018-10-13,93,72,73,13,7,10
2018-10-14,143,92,66,26,7,13
2018-10-15,170,51,22,23,6,10
2018-10-16,82,30,30,12,4,6
2018-10-17,42,37,26,17,5,6
2018-10-18,52,50,32,25,6,8
2018-10-19,77,55,49,20,6,11
2018-10-20,114,63,58,14,6,9
2018-10-21,132,45,49,9,6,7
2018-10-22,96,33,28,16,4,7
2018-10-23,60,53,42,14,6,8
2018-10-24,89,74,53,10,4,8
2018-10-25,138,34,30,10,3,5
2018-10-26,48,28,25,11,4,5
2018-10-27,37,21,26,10,4,6
2018-10-28,33,20,21,10,4,5
2018-10-29,35,26,21,11,4,7
2018-10-30,50,30,24,15,5,7
2018-10-31,59,50,29,24,10,11
2018-11-01,95,60,55,17,11,11
2018-11-02,124,56,56,13,6,8
2018-11-03,124,58,27,20,6,9
2018-11-04,120,38,17,13,5,7
2018-11-05,72,33,19,11,7,6
2018-11-06,59,35,18,17,8,6
2018-11-07,63,44,13,26,10,8
2018-11-08,85,90,18,22,7,12
2018-11-09,172,60,15,24,10,8
2018-11-10,96,42,57,21,9,7
2018-11-11,77,87,26,28,13,16
