일자,요일,city,교통량
20170119,목,영등포구,1883.667874375
20170119,목,용산구,1963.2976191857144
20170119,목,은평구,1170.6861672666666
20170119,목,종로구,1066.9518632299998
20170119,목,중구,1005.3183836383332
20170119,목,중랑구,1699.619524
20170120,금,강남구,2047.6596337777778
20170120,금,강동구,1555.722222333333
20170120,금,강서구,979.1413543250001
20170120,금,관악구,1090.8837982
20170120,금,광진구,1541.7763857
20170120,금,구로구,681.2984733400001
20170120,금,금천구,1308.253143675
20170120,금,노원구,1559.65081186
20170120,금,도봉구,1144.0828655
20170120,금,동대문구,2553.458333
20170120,금,동작구,3348.8958334999998
20170120,금,마포구,2921.5625000000005
20170120,금,서대문구,1272.435174625
20170120,금,서초구,2231.60776773
20170120,금,성동구,1674.6672928
20170120,금,성북구,1672.5702888
20170120,금,송파구,1480.47133954
20170120,금,양천구,2140.307845925
20170120,금,영등포구,1747.4918896250003
20170120,금,용산구,1690.922619042857
20170120,금,은평구,1093.2456471666667
20170120,금,종로구,1000.22213898
20170120,금,중구,923.9080080649998
20170120,금,중랑구,1549.806975
20170121,토,강남구,1968.1630791111108
20170121,토,강동구,1679.5416666666667
20170121,토,강서구,993.7594531
20170121,토,관악구,1219.70309285
20170121,토,광진구,1457.9360339
20170121,토,구로구,696.2623701599999
20170121,토,금천구,1286.29549075
20170121,토,노원구,1596.0753092
20170121,토,도봉구,1130.64026965
20170121,토,동대문구,2741.625
20170121,토,동작구,3206.25
20170121,토,마포구,2896.72916675
20170121,토,서대문구,1257.2147161999999
20170121,토,서초구,2115.9630537
20170121,토,성동구,1665.0640090000002
20170121,토,성북구,1604.09045732
20170121,토,송파구,1372.61199375
20170121,토,양천구,2060.979843325
20170121,토,영등포구,1623.90572625
20170121,토,용산구,1725.392857085714
20170121,토,은평구,1225.8546953000002
20170121,토,종로구,928.4251747400001
20170121,토,중구,833.9821449466667
20170121,토,중랑구,1560.6725465
20170122,일,강남구,1629.1062914444444
20170122,일,강동구,1453.1388889999998
20170122,일,강서구,840.3755241
20170122,일,관악구,1005.6772280000001
20170122,일,광진구,1147.1429961000001
20170122,일,구로구,578.9447815
20170122,일,금천구,1076.1964664749999
20170122,일,노원구,1420.51915786
20170122,일,도봉구,922.4494325000001
20170122,일,동대문구,2429.291667
20170122,일,동작구,2865.1666665000002
20170122,일,마포구,2407.27083325
20170122,일,서대문구,1110.125236125
20170122,일,서초구,1855.8226858699995
20170122,일,성동구,1328.449208
20170122,일,성북구,1413.1613354200001
20170122,일,송파구,1127.819760425
20170122,일,양천구,1799.037963075
20170122,일,영등포구,1374.0951057374998
20170122,일,용산구,1461.136904757143
20170122,일,은평구,1052.1639610333334
20170122,일,종로구,805.26591287
20170122,일,중구,690.986265995
20170122,일,중랑구,1357.1744351999998
20170123,월,강남구,2121.739595111111
20170123,월,강동구,1730.5555554333332
20170123,월,강서구,1129.3587693749998
20170123,월,관악구,1305.6094312
20170123,월,광진구,1594.83304595
20170123,월,구로구,712.41989158
20170123,월,금천구,1306.419119825
20170123,월,노원구,1571.5975008
20170123,월,도봉구,1155.8805145000001
20170123,월,동대문구,2492.208333
20170123,월,동작구,3437.2291665000002
20170123,월,마포구,2929.4374997500004
20170123,월,서대문구,1318.88215655
20170123,월,서초구,2296.0593190699997
20170123,월,성동구,1765.8142856000002
20170123,월,성북구,1683.75336728
20170123,월,송파구,1471.0086807500002
20170123,월,양천구,2044.2878915000001
20170123,월,영등포구,1805.067975
20170123,월,용산구,1859.9166665714286
20170123,월,은평구,1105.0626802
20170123,월,종로구,993.3602938600001
20170123,월,중구,981.8747850033333
20170123,월,중랑구,1642.9507859999999
20170124,화,강남구,2242.696285888889
20170124,화,강동구,1859.9444444333333
20170124,화,강서구,1178.953246125
20170124,화,관악구,1402.34297925
20170124,화,광진구,1728.531668
20170124,화,구로구,728.4799591999999
20170124,화,금천구,1329.6409697
20170124,화,노원구,1667.9173568399997
20170124,화,도봉구,1173.1470585
20170124,화,동대문구,2706.0
20170124,화,동작구,3661.3125
20170124,화,마포구,2991.1354165000002
20170124,화,서대문구,1399.696110625
20170124,화,서초구,2321.35974567
20170124,화,성동구,1824.3434524
20170124,화,성북구,1748.8727058
20170124,화,송파구,1524.9959048249998
20170124,화,양천구,2125.965290825
20170124,화,영등포구,1900.2609120000002
20170124,화,용산구,1939.2023809999998
20170124,화,은평구,1294.0053808666667
20170124,화,종로구,1077.58173771
20170124,화,중구,1000.0586086775002
20170124,화,중랑구,1695.5093815
20170125,수,강남구,2239.345856222222
20170125,수,강동구,1924.7222220000003
20170125,수,강서구,1193.675905125
20170125,수,관악구,1402.24472505
20170125,수,광진구,1728.427447
20170125,수,구로구,748.6356386599999
20170125,수,금천구,1357.95849815
