"","미세먼지.....","초미세먼지.....","오존.ppm.","이산화질소농도.ppm.","일산화탄소농도.ppm.","아황산가스농도.ppm.","평균기온..C.","최저기온..C.","최고기온..C.","일강수량.mm.","최대.순간.풍속.m.s.","평균.풍속.m.s.","최대.순간.풍속.풍향.deg.","beijing_pm25","beijing_pm10","beijing_o3","beijing_no2","beijing_so2","beijing_.co","dalian_pm25","dalian_pm10","dalian_o3","dalian_no2","dalian_so2","dalian_co","qingdao_pm25","qingdao_pm10","qingdao_o3","qingdao_no2","qingdao_so2","qingdao_co","shanghai_pm25","shanghai_pm10","shanghai_o3","shanghai_no2","shanghai_so2","shanghai_co","shenyang_pm25","shenyang_pm10","shenyang_o3","shenyang_no2","shenyang_so2","shenyang_co","tianjin_pm25","tianjin_pm10","tianjin_o3","tianjin_no2","tianjin_so2","tianjin_co","교통량"
"6337",29,16,0.022,0.017,0.3,0.004,-9.4,-11.7,-5.3,0,8.2,2.2,19.7,98,44,31,15,5,6,59,46,25,21,17,11,69,68,13,20,8,7.03,94,35,30,28,5,5,136,60,24,25,36,14,101,54,23.27,26,11,17,1873.119048
"17721",69,48,0.044,0.026,0.5,0.003,15.9,11.4,21.8,0,8.4,2,312.2,156,65,68,22,1,14,92,35,55,3,3,6,51,51,40,11,3,5.37,79,73,68,30,5,7,135,48,41,17,13,7,157,55,63.59,15,9,11,3567.572917
"10182",39,24,0.023,0.044,0.5,0.003,22.7,19.6,26.9,1,4.2,1,81.6,73,42,90,19,1,5,62,32,71,13,4,8,33,53,50,10,2,6,70,47,20,27,3,8,101,32,51,23,2,5,87,41,74,22,5,6,1766.608333
"25941",53,0.006,26,0.039,0.04,0.6,18.1,12.1,25.8,0,6,1.6,202.5,161,67,101,12,4,5,106,66,96,11,7,7,137,58,97,17,3,6.42,95,57,73,24,3,5,145,75,88,12,12,9,128,63,82.94,13,7,6,1302.56614583333
"1894",15,8,0.022,0.015,0.3,0.002,23.4,19.9,26.8,0,6.7,1.4,157.5,169,22,25,8,1,3,66,49,35,16,5,7,82,63,44,33,4,5.59,63,23,38,12,3,4,88,38,16,19,10,9,159,38,40.11,14,3,4,1681.42820907027
"19558",105,71,0.005,0.051,0.9,0.006,1,-1.4,3.3,0,5.4,1,42.2,114,71,26,19,9,9,176,52,23,21,20,10,176,113,24,20,19,12,116,67,28,28,9,9,164,102,10,30,96,15,172,66,23,22,14,18,2246.41993
"1338",13,6,0.036,0.013,0.3,0.002,17.7,14.8,19.8,20,9.8,1.8,312.2,110,50,68,24,2,6,104,93,147,9,10,13,75,82,104,18,5,10,128,72,108,19,5,8,123,89,61,21,6,8,130,60,79,26,10,10,1653.98695029644
"14069",51,13,0.028,0.018,0.3,0.004,12.4,9.8,16.5,0,6.2,1.7,45,106,89,33,28,8,9,72,87,80,21,11,10,58,92,71,13,7,9,114,64,53,30,5,4,52,69,49,21,18,6,100,86,35,38,22,21,2198.632466
"17445",67,31,0.012,0.035,0.6,0.007,2.2,-0.6,6.1,0,4.3,1,300.9,156,59,13,30,5,8,224,118,16,38,21,20,1,1,25.68,23.25,11.86,9.41,189,76,24,36,6,9,137,34,21,16,14,4,189,77,24.26,28,14,15,1721.824013
"1708",14,9,0.022,0.016,0.3,0.003,13,9.1,17.8,4.5,7.2,1.9,329.1,28,24,22,13,1,3,30,22,26,17,3,6,44,55,40,27,10,5.77,93,30,38,11,3,2,58,29,18,21,6,7,64,41,42.56,14,2,7,1862.535714
"18652",79,70,0.027,0.053,0.7,0.005,11.4,5.2,18.4,0,8,1.9,337.5,258,116,23,33,10,13,170,83,49,24,16,12,118,82,51,12,5,6,119,42,45,27,4,7,154,68,36,22,22,7,228,86,28,32,19,13,2925.854167
"13636",49,27,0.024,0.032,0.5,0.008,1.8,-4.3,6.6,0,6.5,1.8,326.3,55,50,34,20,4,6,191,122,40,22,16,18,155,79,32,13,7,7.49,123,49,44,19,4,6,157,69,26,23,33,13,154,83,29.03,26,16,15,2224.008333
"21374",53,0.004,34,0.022,0.031,0.6,13.8300575757576,8.70605833333333,20.2802440216646,0.110714285714282,6.39308333333334,1.29661538461538,78.1009946123322,97,59,15,24,1,8,80,39,23,18,8,7,93,50,27,20,3,6.04,96,48,47,11,4,7,71,77,9,31,20,9,92,73,39.83,25,5,9,695.696261568056
"20020",34,0.004,24,0.009,0.04,0.6,2.9,-1.8,6.5,0,5.1,1.3,180,152,82,24,30,4,15,160,77,38,15,7,11,158,89,34,27,5,9.84,146,37,19,30,3,6,168,113,19,23,13,13,184,118,28.81,32,4,24,1082.5
"831",10,7,0.017,0.018,0.4,0.005,20.5,16.6,26.4,0,5.2,1.5,45,174,102,38.62,36,1,12,57,23,40,8,5,7,57,19,44,4,1,7,121,29,43,14,5,5,103,73,33,30,14,17,130.83,91.1,54.18,28.16,7.11,11.54,685.989418
"26637",92,0.004,24,0.033,0.022,0.3,11.1,6.4,17.1,0,10.5,2.9,210.9,108,135,36,19,3,5,101,73,46,16,5,3,140,118,57,20,5,7.03,151,59,74,24,4,7,58,63,33,21,10,6,117,87,39.34,23,9,14,790.697440087146
"8746",35,24,0.028,0.011,0.4,0.006,-8.7,-11.5,-5.5,0,8.8,2.9,323.4,58,23,27,6,1,1,60,35,29,12,18,7,83,57,30,18,12,6.93,101,53,27,30,9,8,147,72,20,24,27,14,69,18,27.23,21,7,8,1801.314981
"13273",48,29,0.006,0.047,0.9,0.006,-0.7,-6.6,7.8,0,2.7,0.6,244.7,152,66,22,20,3,9,72,80,39,13,9,11,75,83,45,12,7,10,102,61,28,39,5,8,100,69,18,17,13,7,135.54,75.44,32.45,24.92,9.23,12.41,1668.616667
"26859",101,0.004,57,0.056,0.022,0.6,12.2,9.8,16.5,0,14.9,3.6,272.8,144,56,24,13,3,5,142,46,30,17,7,2,158,61,40,17,3,6.82,135,60,31,39,3,11,91,35,33,17,6,3,142,41,38.16,25,7,7,2004.33009744088
"11218",42,24,0.048,0.036,0.5,0.006,19,14.7,25.8,0,9.6,2,250.3,146,79,137,11,4,6,89,32,57,6,6,6,71,52,58,4,1,6,85,43,51,11,3,5,148,57,101,16,7,6,140,72,128,20,6,6,1042.819642
"8252",34,13,0.022,0.027,0.3,0.006,12.8,8.3,18.2,0,5.505,1.4,103.95361978022,84,61,28,25,1,9,88,57,72,19,6,12,46,52,44,21,7,7,107,42,42,17,5,6,137,94,23,43,21,17,114.63,72.5,36.76,27.03,9.07,10.97,1810.835608
"24453",34,0.004,32,0.042,0.019,0.7,24.4,21.3,30,0,6.9,1.8,241.9,34,60,74,15,1,5,48,30,48,10,4,5,110,43,50,8,2,3.91,64,25,48,14,1,4,31,37,51,14,10,8,81,58,67.85,20,8,9,1580.58333333333
"16050",59,27,0.041,0.024,0.3,0.005,22.9,18,29,0,8.2,3,227.8,96,86,101,15,3,7,132,78,125,18,8,13,102,105,134,24,9,12,95,42,62,15,3,3,145,68,133,21,9,7,122,65,72,16,10,8,2024.029762
"16083",59,35,0.004,0.035,0.8,0.005,5.3,3.1,7.8,2,5.4,1.4,123.8,93,23,22,8,1,2,138,32,21,16,13,7,175,54,25,12,11,8,117,72,33,21,4,8,110,43,13,20,20,8,139.18,37.91,25.66,18.18,5.9,7.67,2044.476641
"22289",36,0.003,18,0.018,0.029,0.4,22.8,17.8,29.7,0,3.4,0.7,53.4,150,67,102,20,1,8,133,67,109,19,5,10,72,59,85,17,4,6.51,116,43,45,15,3,4,124,75,51,26,12,11,151,74,85.08,31,5,7,3746.66666666667
"7193",31,26,0.028,0.022,0.4,0.004,31,27.2,35.8,2.5,5.3,1.4,208.1,105,22,28,9,8,9,55,36,20,3,3,5,34,46,16,5.21,1,4.25,62,34,46.55,7,2,4,107,19,15,14,8,6,159,22,45.94,9,3,12,1807.017857
